,Educational Qualification
"12th standard passed, Preferably  ",1
Minimum Age - 14 Years ;  Preferable Qualification shall be 10th Pass with 1-2 years’ experience in textile mill.,1
8th Class ,1
"12th Class, Preferably in Science , but 10th Class is also considered in certain",1
5th Pass Preferaby,1
"Diploma/Class 12th pass, candidate should have completed the age prescribed for apprenticeship as per the corresponding State/UT Act",1
ITI Mechanical,1
ITI – Mechanical Technology,1
Graduate degree/diploma in automotive or mechanical engineering,1
Class XII with science,1
"12th Class ,Preferably with Science",1
"10th Class/ITI, Desirable – 18 years",1
12th Class (Science)/ ITI,1
Undergraduate degree or diploma in mechanical/ automobile engineering,1
8 th pass preferably,1
"10th Class/ITI, Prefreably- 18 years",1
I.T.I/Diploma in Mechanical trade,1
5th Class (Primary Education),1
Preferable Qualification shall be 8th Pass with 1  2 years experience in a Textile Mill.,1
Diploma in Mechanical engineering,1
"10th Class, Preferably",1
Diploma in Civil Engineering/Structural Engineering,1
Graduate degree/ diploma in Automotive or Mechanical Engineering,1
Graduate or certified Social Media Manager (NSQF Level 6),1
"B. Tech/ B.E.  (Solar/ Electrical, Electronics, Civil, Mechanical/ Energy Systems) or M.Tech (Solar/ Renewables/ Energy Studies)",1
B. Pharma preferable/ Graduate in Science (chemistry specialization preferable for Pharmaceuticals)/ B.Tech in chemistry,1
BBA/ B.Tech/B. Pharma/ B.Sc in a related discipline,1
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with 1  2 years’ experience in a textile processing.,1
Diploma in Mechanical engg,1
"Class 5, preferably",1
"Graduate/Equivalent, preferably",1
Diploma in Electrical Engineering,1
ITI in Electrician Trade/ 10th class with experience,1
Minimum Age - 14 Years ; Preferable Qualification shall be 10thpass with training in computer operations,1
"Diploma - Mechanical Engineering, Degree preferred",1
"8th Class, Driving Licence",1
Preferably 5th standard,1
10th Class/ ITI. Preferably Diploma in Mining or Drilling,1
BSc. Chemistry,1
B.Tech/ B. Pharma / Graduate in any field/ B.Com/ BBA,1
"Bachelor Degree in Engineering (Electrical, Electronics, Mechatronics, Instrumentation) or M.Sc. (Electronics)",1
"5th Class (To be revised to 8th post 31st December, 2017)",1
"Diploma/Degree in Textile/Fashion/Garment, Preferably",1
Bachelor's Degree in Science/Computers/Technology and/or Degree in Law,1
B.E/ B. Tech (Preferably automobile/ mechanical),1
12th Class.Trained as per PSARA requirements in QP & NOS aligned syllabus,1
1st Yr Bachelor's Passed,1
12th with Science or Home Science,1
B.Sc or Diploma in Instrumentation/Electrical/Electronics,1
"Diploma – Mechanical/Production, Degree preferred",1
"10+2 with science stream
Or
Level 4 Radiology Technician with experience of minimum 2 years

",1
Graduate in Agriculture & Allied Sciences,1
"Diploma /B. Tech/ BE in Industrial / Production / Mechanical
Engineering 
",1
"10th Class ,Preferably/ the ability to read/write and communicate effectively on the job role",1
8th Pass Preferaby,1
B.E. (Electronics),1
"10th Class, 6 months of experience",1
Graduate degree in any discipline,1
"12th Class ,Preferably and compulsory Certification course F36in industrial safety",1
Undergraduate degree/ diploma in any discipline,1
"B.E. / B. Tech. / Any Graduate with Science background, preferred",1
Diploma in Electrical/Electronics/Instrumentation B.Sc in Electronics,1
M. Tech/B. Tech/Dip. in Polymer/Chemical Technology,1
ITI (Electrical),1
"ITI/12th Standard with Science pass (and no vertigo problem), preferably",1
"12th Class, Preferably with a background in physical sciences",1
8th Class(preferable) OR ability to read/ write and communicate effectively on the job role,1
"ITI/Diploma in Electrical/Electronic/Instrumentation, Preferably",1
"12th Class Undergraduate degree or diploma in any discipline (preferable in Automobile / Mechanical Egg.)
",1
8th Class OR ability to read/ write and communicate effectively on the job role,1
10th Class  and statutory certificate,1
"5th Standard pass, peferably",1
B. Pharma preferable/ B. Sc. / Clinical Research certification,1
Diploma / Degree in Civil Engineering (with specialization in PHE),1
10th Standard pass,1
"12th Class ,Preferably and compulsory Certification course in industrial safety",1
I.T.I in Tool and Die Maker (Dies and Moulds) trade,1
Bachelor's Degree in Electronics/ Computer Science Engg.,1
"12th Class, 1 year experience in  mining firefighting operations",1
"12th Class, preferably",1
Diploma in petrochemical/ Chemical engineering/ Class XII pass with Science group,1
B.E.,1
"10th Class ,2-3 years’ experience",1
XII/ITI,1
B.Tech/B.E (Electrical/Mechanical/Electronics/Communication/Instrumentation),1
Diploma in Mechanical /ITI (Plumbing),1
10th Class ,1
"Diploma (Metallurgical / Mechanical) Pass,  
BE (Metallurgical / Mechanical) Pass and 18 years of age",1
Diploma / ITI – Mechanical/ Welding Technology,1
"5th passed,  preferably ",1
B.E / B. Tech in any discipline or any other relevant field,1
"8th Standard pass or equivalent, preferably",1
Able to Read & Write​,1
BE/B.Tech (Electrical),1
Graduate degree/ diploma in Business Studies  or Marketing,1
Minimum Age - 14 Years; Minimally Qualified,1
Diploma/BSc.,1
"12th Class , 1  10 years of experience",1
Class 10th Pass  Class 12th Pass and 18 years of age,1
"Post Graduate in the discipline related to Natural Resource Management, especially in Rural Development/ Sociology/ Social Work/ Agriculture/ Agriculture Engineering/ Civil Engineering/ Agri-Business Management, preferably",1
Graduate in any stream with relevant experience,1
10th Class  Pass,1
"8th Class, preferably pass with ability to read and write about chemicals used",1
"Graduate with 1 year of experience in administration role
Or
HSSC NSQF Certified level 5 Patient Relation Assosciate or Service Professionals, Defence/Armed Forces Professionals
",1
10th/12th Class/ITI/Diploma,1
12th Class pass/ ITI,1
Graduate with Mathematics/Statistics/Quantitative Science as one of the subjects,1
12th Standard (Science),1
"10th Class  and Mining Mate Certificate (DGMS), at least 4  5 years of experience in mine.",1
"10th Class ,Preferably– 18 Years",1
Graduate in Petrochemical/Chemical Engineering/Chemistry or Diploma in Petrochemical/Chemical engineering or Class 12th (PCM) with relevant experience,1
ITI pass and 18 years of age,1
Diploma with 3 years of experience or NSQF 4 with 5 years of experience,1
Able to read & write,1
ITI (Fitter/Mechanical),1
Bachelor’s degree in Fisheries/Aquaculture/Marine Biology or Zoology,1
10th pass preferred,1
ITI/Diploma (IT/Electronics/Communication related stream),1
ITI    Mechanical,1
"12th Class, Passed",1
BE/MTech.,1
Preferable Primary education,1
Bachelor's Degree in Science/Technology/Computers/Business,1
"10th Class, Preferably/ Diploma in dairy management",1
Class 10th passed,1
"B.Sc in a relevant subject such as biochemistry, biology, chemistry, immunology, biomedical science, biotechnology, microbiology (Preferable)",1
ITI (IT/Electronics/Communication related streams),1
"8th (To be revised to 10th post 31st December, 2017)",1
"12th Class , 6 month of experience ",1
"10th standard passed,  preferably",1
ITI (with 10+2 science background),1
8th Class/ ability to read / write and communicate for the job role,1
"Degree in Mechanical and 
allied engineering branches",1
5th Class pass (Primary Education),1
10th Standard Pass,1
10+2 preferably in science stream Or NSQF level 4 certified CSSD Assistant,1
"Applicable for roles with eligibility criteria 9th-12th for Customer Facing Roles, and roles with above 12th Standard eligibility requirements. ",1
ITI (Electrical/Mechanical/Civil/Chemical/Plumbing) or 12th pass with 3 yrs experience in Water & Sanitation sector,1
ITI/Diploma - Desirable,1
Graduate in Science,1
I.T.I in Mechanic Auto-body painting/ Industrial Painter,1
Diploma/D.Pharma/ITI/Graduate in any science-related field,1
Diploma/ ITI/B.Sc,1
"Graduation,Preferably",1
I.T.I in Technican Mechatronics/I.T.I in Fitter trade,1
"B Tech., (Electrical/ Mechanical/ Civil/ Electronics and Communication / Electrical and Electronics/ Control & Instrumentation)",1
Basic Literacy Skills,1
"Undergraduate degree or diploma in any discipline (Preferably in Finance / Commerce)
",1
"8th Class ,Preferably/ fine arts student/ community heritage and / the ability to read/write and communicate effectively on the job role",1
12th Class/ Diploma,1
Graduate degree/diploma in Automotive/ Mechanical Engineering,1
B.B.A./ B.Com./ B.Tech. ,1
"Class 12th (preferably with biology)
Or
ANM Or NSQF level 4 certified Home Health Aide or General Duty Assistant or General Duty Assistant Advanced with 1 year of experience in the field",1
Diploma in Ceramic Engineering,1
Graduate in Commerce,1
"8th Class, Preferably or ability to read/write and communicate effectively on the job role",1
ITI /Diploma in Electrical/Mechanical. B.Tech or B.SC in Electrical/Mechanical,1
Basic literacy,1
"12th Class in science ,Preferably",1
Higher Secondary School Grade XI Passed,1
"8th Class, basic knowledge (read & write) of local language,
English, Hindi
",1
Preferable Qualification shall be 5th Pass with 1  2 years experience in a textile Mill.,1
B.Tech/ B. Pharma / Graduate in any field/ B.Com,1
D.Pharma/ Diploma / B.Sc in in a scientific or engineering related field,1
Class 10th pass,1
Diploma in Pharmacy/ any relevant science discipline,1
"5th Stnadard (To be revised to 10th post 31st December, 2017)",1
"Diploma in chemical engineering/D.Pharma/B.Sc (chemistry specialization preferable for Pharmaceuticals, biology specialization preferable for Bio-pharmaceuticals)",1
Xth with relevant experience,1
"10th Class ,Preferably ITI Certificate",1
"10th pass + ITI / Diploma (Civil, Plumbing, Mechanical)",1
7th Class,1
X / ITI (Mechanical / Civil / Electrical),1
B.E.(Electronics),1
"10th Class / Diploma /ITI with certification in Refrigeration/HVAC, Preferably",1
"Bachelor of Technology (Electronics, Computer Science, IT and related field) ",1
Preferably B. Pharma / B. Sc with Chemistry major subject/Graduation in biotechnology,1
"Masters degree in Food Technology / food science, preferably",1
"Basic literacy, preferably 5th Class pass ",1
Basic Literacy,1
B.E/ B Tech in Mechanical/ Automobile engineering,1
B.Tech/ B.E / Graduate in Business Administration ,1
Minimum Age    14 Years ; Preferable Qualification shall be 5th Pass,1
"Must have at least passed Class VIII and should be functionally literate.
This may be relaxed only if no suitable person with this qualification is available.
",1
Graduate or Diploma in Engineering/ Class XII with relevant experience ,1
12th Class passed,1
Diploma ,1
ITI/ Diploma in Computer Hardware,1
B. Tech/Dip. in Mechanical/ Automobile Engineering,1
ITI (Electronics/Electrician/Wireman)/ 12th Pass,1
"5th Pass, preferrably",1
Preferable Class XIIth,1
Diploma preferable in Electrical Engineering,1
"10th Class  , 0  10 years of experience ",1
"Graduate in Science, desirable ",1
Bachelor's Degree in Statistics/ Science/Technology or any other course,1
"Graduate, preferably in Agriculture/Economics/Finance",1
10th Class Pass,1
10+2 or OFT QP certified with one-year experience.,1
Minimum Age - 14 Years ; Preferable Qualification shall be 10th Pass with 1-2 years experience in a textile processing.,1
"10th standard, Preferably ,",1
"12th Class, 1  10 years of experience",1
Minimum Age    14 Years ; Preferable Qualification shall be 12th Pass with 1  2 years experience as maintenance assistant in a textile mill.,1
"ITI Machinist, 1  10 years of experience",1
"Basic literacy, preferably 5th class pass",1
"Class VIII, Preferably",1
8th Class+ 2 yrs,1
Diploma /Pursuing B.Tech 3rd (Civil/Mechanical/Electrical/EEE/Instrumentation),1
"12th Class ,Preferably/ Diploma /ITI with certification in refrigeration",1
12th Class pass,1
"10th standard passed , preferably ",1
Graduate degree/ diploma in Automotive/ Mechanical Engineering,1
"Diploma /B. Tech/ BE in Industrial / Production / Mechanical Engineering 
",1
Diploma (Mech/Metallurgy/Electrical),1
Bachelor's Degree in Science/Technology/Computers,1
12th Standard Passed,1
"Diploma /B. Tech/ BE in Industrial / Electrical / Electronics
Engineering",1
12th Class (Science)/ ITI  ,1
"ITI Mechanic/ Electrical, 3  4 years of experience in ore processing",1
ITI - Electrical and Electronics ,1
"10th Class ,Preferably with Low Voltage electrical work license from recognized licensing authority",1
Preferably Diploma in Mechanical/ Electrical/ Automobile Engineering,1
ITI in Electrician trade ,1
Graduate qualification in Environmental Science/Climate Change/Natural Resource Management/Agriculture ,1
"10th Class  and/or ITI Diploma in Electronics, Computer Science, IT or related  fields",1
"B. Tech/Diploma in Mechanical/Electrical Electronics
Engineering (Based on product type)
",1
10th Class (Science) ,1
12th standard,1
Preferable Primary school passed,1
B.E. (CSI),1
"Degree in Mechanical/Aeronautics and allied engineering 
  branches",1
ITI in Automobile or Class 10,1
"12th standard passed or equivalent.
",1
Class X /ITI (2 years after classVIII),1
Diploma in Civil / Mech. Engg.,1
"Class 8th pass, preferably",1
"7th Class, Preferably",1
Diploma/ITI/ B.Sc,1
"12th standard passed or equivalent

",1
"Graduate, preferably in Agriculture/Economics/Commerce",1
Diploma ( Electrical Engineering) and allied branches,1
Degree in Chemical / Mechanical Engineering - desirable,1
"10th Class ,Preferably, ITI– 18 Years",1
Graduate (B.E/B.Tech) or its equivalent,1
Bachelor’s Degree,1
Graduate/Post Graduate,1
"12th Class/Diploma/ITI/Graduate in Science, Preferably",1
"5th pass (Primary Education),  preferably ",1
ITI or Diploma in Draughtsmanship / Civil,1
"No formal education required, applicable to all PMKVY roles",1
"8th Pass, Preferably",1
"Technical Diploma (Mechanical, Chemical, Metallurgy, etc.)",1
Bachelor's Degree in Human Resources/General Management or graduate in any discipline,1
Minimum Age - 14 Years; Preferable Qualification shall be 10th pass,1
"10th standard, preferably",1
ITI in Automobile,1
Preferably 12th Pass,1
Class XII or Music Programmer (NSQF Level 5) Certificate.,1
Diploma in Electrical/Electronics,1
"5th pass, preferably",1
Class 12th (Science),1
Diploma/ ITI,1
"12th Class ,Preferably or The ability to read/ write and communicate effectively for the job role",1
10th standard,1
V,1
ITI / AutoCAD certificate,1
5th Pass ,1
Graduate/ ITI Preferably (Construction related trade),1
8th Class (10th/ITI preferred) Standard,1
10th std.pass ,1
"5th Class, Pass (Primary education)",1
"Degree in  Mechanical / Aeronautical and allied engineering    
 branches",1
Minimum Age    14 Years ;  Preferable Qualification shall be 10th Pass with training in weaving department.,1
Diploma(10+) - Electrical or Electronics,1
12th Class in Science Or Level 4 EMT  B with the minimum three years of experience,1
 5th Class ,1
10th Class/ fine arts student / the ability to read/write and communicate effectively on the job role,1
Graduate (Science)/ Electronics Engineer,1
"12th Class, Pass with training in computer operations",1
"B. Tech/Diploma in Mechanical/Electrical/Electronics Engineering
",1
AME/B.E ( mechanical / Aeronautical engineering ) and allied branches,1
Preferably 10th standard and ASNT level 1 qualified,1
10th Class preferably but Class VIII in certain cases,1
"BSc (Stat, Math, Physics, Chemistry, Geology) or BE/BTech",1
Diploma in Mechanical / Drilling engineering,1
"ITI (Electrical, Electronics, Instrumentation) or Diploma (Electrical, Electronics, Instrumentation",1
B. Pharma / Graduation in Biotechnology/ B. Sc with Chemistry/ Biology/Microbiology/ Biochemistry as major subject (Preferable),1
"5th Class,Pass",1
Graduate Passed (preferably in agriculture related stream),1
"12th Class , 6 months of experience",1
B. Pharma / B. Sc with Chemistry major subject or Analytical Chemistry (Preferable),1
"Preferbaly, Diploma/Degree in textile engineering",1
Bachelor’s Degree in engineering/technology,1
"12th Class , 2  3 years of experience in  mechatronics",1
"Graduate in Microbiology,  preferably ",1
12th standard passed,1
Graduate degree/ diploma in automotive or mechanical engineering,1
Graduate in Security/ Computer Science/Electronics and Engineering /IT,1
ITI in Industrial / Production / Mechanical Engineer,1
ITI/Diploma - Desirable - Preferred  ,1
Not applicable ,1
Preferably ITI/ Diploma in Hydraulic Mechanic,1
10th pass ,1
Diploma in Civil / Mechanical Engineering,1
Minimum Age - 14 Years ; Preferable Qualification shall be 10thpass with training in computer operations.,1
B.Sc. (Chemistry) ,1
Preferable class X,1
"12th standard passed, license to drive a vehicle",1
Class 8th or Diploma in carpet course,1
Graduate in Agriculture Studies preferably,1
"6th Standard, preferrably",1
12th Class in Science Or Level 3 ECG Technician with Experience of minimum 3 Years.,1
"12th Class, Preferably/Certificate in logistics management",1
Class XII with relevant experince or Class X with relevant experience/Graduate or Diploma,1
Primary Education (5th Pass Preferably),1
As required to obtain LMV/HMV license based on need,1
"Master’s degree in pharmaceutical, biotechnology, nursing or life sciences/ M. Pharma/M.Sc in the above disciplines",1
Graduation in biotechnology/biochemical/ chemical preferable or biological science or applied science or a closely related field,1
B. Tech/Diploma in Mechanical/Electrical/Electronics Engineering,1
Diploma - Preferred ,1
Diploma/ B.E./ B.Tech. preferrably in Civil Engineering  ,1
B. Pharma preferable/ B. Sc / M. Sc with Chemistry/ Biology/ Biochemistry as major subject/ Graduation in Biotechnology,1
"10th Class ,Preferably or ability to read/ write and communicate effectively on the job role",1
5th Class preferably,1
ITI (Motor Vehicle Mechanic),1
8th Class Pass preferable,1
Post Graduate in Life Sciences subjects/ Bioinformatics/ Biotechnology/ Post Graduate Engineer in Biotechnology/ bioinformatics/ Bio engineering/ bio medical/computer science/computational science,1
10th Class / Diploma/ITI certification preferably in Refirgeration/HVAC,1
12th Class in Science or NSQF Level 3 X  ray Technician with 2 years of experience in the field,1
B. Tech/Diploma (Electronics and Communication Engineering/ Instrumentation/Electrical & Electronics/ Electrical),1
12th standard Science or ITI/Diploma (Electrical/Mechanical/RAC),1
"B.Sc. – Agriculture/ Horticulture, B.Sc. – General (with a subject Botany), 3  5 years of experience in similar role or as support to similar role for 2  3 years.",1
10th Pass ,1
Mechanical & Chemical Engineering/ Graduate in Science/ B.Pharmacy (Preferable),1
10th class,1
Graduate Degree/ Diploma in any discipline,1
Min: Class 5,1
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with 1  2 years experience in a Textile processing.,1
Class 12. No separate entry requirement for veterans from Armed Forces who have exposure of working in similar trade or job roles,1
12th Class/ Certificate Courses in Sales,1
12th Class/Diploma/ITI/Graduate in Science,1
12th Standard (Science) or ITI/Diploma,1
Minimum Age - 14 Years; Preferable Qualification shall be 12th pass with training in Laser Supervisor,1
Minimum Age    14 Years ; Preferable Qualification shall be 5th Pass with 1  2 years’ experience in a Textile Mill.,1
"ITI in Mechanical/Electrical/Electronics Engineering ( Product
content based)",1
"Diploma (Electrical, EEE) ",1
Diploma in IT/Computer,1
B.E (Civil/Mechanical/EEE/Instrumentation/Construction Management ),1
"Medical Graduate (MBBS/ BHMS/ BAMS/ BUMS) with 3 years’ experience in the related field Or  Graduate (Nursing/ Allied Health Professionals/ NSQF Certification in Assistant Duty Manager-Patient Relation Services) with 5 years’ experience in the related field. In case of Masters (Nursing/ Allied Health Professional) & BDS, 3 years’ experience in the related field Or Post Graduate (Masters/ PG Diploma in healthcare administration) with 3 years’ experience in the related field",1
"Class 10, preferably",1
Class XIIth Pass in Science stream,1
ITI / Diploma/B.E/B.Tech,1
Preferably Diploma in Civil / Mechanical,1
"Diploma in Electronics, Telecommunication or equivalent",1
10th  Standard,1
XII  ,1
No entry barrier,1
12th pass (PCM)/ ITI (2 Years) In Instrumentation/ Electrical/ Electronics ,1
B.Tech/ B.E. in any discipline,1
Minimum Age - 14 Years ; Preferable Qualification shall be 12th Pass with 1-2 years experience as maintenance assistant in a textile mill.,1
Minimum Age - 14 Years ; Preferable Qualification shall be Graduate with training in Jewellery design course,1
"Diploma in engineering, Bachelor's Degree in Science/Technology/ Computers or any graduate course",1
"B. Tech (Electrical, Electronics) or Pre Engineering and Technology candidate with 3 years of formal Engineering Education",1
Class XI,1
B.Tech in Computer/ Mechanical/Electronics Engineering,1
"Post Graduate, preferably",1
Graduation in engineering/ food technology,1
Preferably Diploma in Mechanical/ Automobile Engineering,1
10th Class  OR the ability to read/write and communicate effectively on the job role,1
"10th – 12th Class ,Preferably",1
Rubber Technician Certificate / ITI / Diploma in Mechanical/ Electrical / Polymer Engineering,1
Diploma in Mechanical Engineering/Welding Technology,1
"B.Tech/ B. Pharma or Bachelor's degree with coursework in chemistry, quality or a related discipline (Preferable)",1
"Min: Class 12, preferably",1
Class XIIth Pass,1
ITI in Mechanical/ Welding Technology,1
ITI / 10th Pass,1
"12th Class , 1 year experience as long wall  in  mining operations",1
"ITI Pass/ Diploma in Engineering, B.E. / 
B. Tech Pass and 18 years of age",1
B.Tech/B.E (Electrical),1
B.E./ B.Tech. in Electrical Engineering/ Construction Management or related discipline/ Preferably MBA,1
B.Tech in Biotechnology/ B. Pharma / Graduate in a related field (preferably biotechnology),1
"Class 10th Pass, ITI Pass and 18 years of age",1
" 8th Class Passed. Preferable ITI (Electrical, Mechanical)",1
Graduation in commerce or allied subject,1
"Basic reading & writing skills, preferably 5th pass",1
Graduate in Science subjects/ Bioinformatics/ Biotechnology or Graduate Engineer in Biotechnology/ Bioinformatics/Biomedical Engineering/ Computational Science,1
Minimum Age    14 Years ; Preferable Qualification shall be 10th Pass with 1  2 years experience in a Textile Mill,1
Graduate in Life Sciences subjects/ Pharma / Biotechnology/ Nursing,1
8th Standard Pass,1
Minimum Age - 14 Years ;  Preferable Qualification shall be 10th Pass with 1-2 years’ experience in textile processing.,1
Diploma in Painting Technology/ Mechanical engineering,1
Preferably B.Sc Agriculture,1
Preferably 10th pass,1
discipline/social science(any one of these) and RCI License,1
Diploma / Degree in Civil Engineering,1
"Basic literacy, preferably 5th class pass (knowledge of respective craft)",1
"Diploma in Mechanical Engineering/Polymer Science or BSc in
Chemistry",1
12th Class/ ITI- Mechanical,1
ITI / Mechanical Engineering / Fitter,1
12th Class with a background in physical sciences,1
"Diploma (Electrical/Electronics/ Civil/ Mechanical)
/B.E. / B.Tech. (Electrical/Electronics/ Civil/ Mechanical/Solar or related Discipline)
",1
Graduate/BE/MTech.,1
8th Class or ability to read/ write and communicate effectively on the job role,1
8th Pass,1
Bachelor’s Degree in EHS related discipline preferable / B.Sc. In Environmental Sciences or Industrial Health and Safety / B.Tech in chemical engineering,1
12th Class with certification in laboratory techniques,1
"8th Class,Preferably  / the ability to read/write and communicate effectively for the job role",1
Diploma in Civil Engineering / Degree in Architecture or Interior Designing,1
10th std Pass,1
ITI – Mechanical/ Machine Technology,1
ITI/Diploma/BE/Bio-Med Engineer,1
"ITI/Diploma (Electronics, Computer Science, IT and related field)",1
B.E/ B. Tech (Preferably automobile/ mechanical/ electrical/ electronic/ Mechatronics engineering),1
Degree / Diploma in Civil Engineering,1
ITI / ITC/ Diploma / Bachelor’s Degree in Engineering / Technology / Statistics / Mathematics / Computer Science,1
BBA/ B.Tech / B.Sc in a related discipline,1
12th Standard Pass (Preferably),1
5th Standard​,1
12th Class Passed,1
